loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-03-02 02:35:24.348,1,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.329983,0.4282302856445312,46.00578308105469,-7.4779052734375,9.650410652160645,6.373274803161621,25,10457.75950341667,0.0734100341796875,0.8456573486328125,-0.54376220703125,10457.72002241667,-0.04990923672473897,0.05206027193719597,-0.003948668948260486,10457.72002241667,0.1782474012465387,0.1266614134014142,-0.9947081782389735,-0.03116502985358238,0.0212559811770916,0.002603633794933558,-0.003018263028934598,0.003700382309034467,-0.009680337272584438,XArbitraryCorrectedZVertical,-0.4792062121936566,0.01302042993422632,0.0479905587456904,0.8762926342669943,0.06881415843963623,0.8386000394821167,-0.5403837561607361,-0.7546403408050537,45.15038681030273,-11.17727279663086,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.378,2,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.329983,0.4282302856445312,46.00578308105469,-7.4779052734375,9.650410652160645,6.373274803161621,25,10457.78982141667,0.06982421875,0.841339111328125,-0.5468902587890625,10457.75503341667,-0.007359113040215959,0.03720169726731688,-0.004388889476450585,10457.75503341667,0.1785562074476978,0.1273769116180065,-0.9947941981245324,0.01138423196971416,0.006398058496415615,0.002163990400731564,0.003089260309934616,0.006232261657714844,0.000284793262835592,XArbitraryCorrectedZVertical,-0.4792628586391036,0.01325526412334952,0.04795019902001845,0.8762603430008752,0.06919162720441818,0.8386468887329102,-0.5402628183364868,-0.750978946685791,45.15240859985352,-11.16933059692383,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.418,3,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.386525,0.9485874176025391,46.17977905273438,-7.7091064453125,9.613568305969238,6.336431980133057,25,10457.82011941667,0.0679473876953125,0.84228515625,-0.5478057861328125,10457.79004041667,-0.001985386592654072,0.03294037320708109,-0.008571650284529036,10457.79004041667,0.1785947187100279,0.1275848272037068,-0.9941268581992636,0.0167582780122757,0.002137769479304552,-0.002017614198848605,0.0004490722494665533,0.003055893117561936,-0.006086842622607946,XArbitraryCorrectedZVertical,-0.4789775002961881,0.01337333510728018,0.04795003412237321,0.8764145721893052,0.06937514990568161,0.8382832407951355,-0.5408034324645996,-0.7371633052825928,45.15083694458008,-11.17660808563232,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.440,4,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.420232,0.7404460906982422,46.11018371582031,-7.5108642578125,9.595794677734375,6.318658828735352,25,10457.85042141667,0.067901611328125,0.8486480712890625,-0.545745849609375,10457.82505341667,-0.003149986937345723,0.03508688104568496,-0.001129446618302605,10457.79004041667,0.1785947187100279,0.1275848272037068,-0.9941268581992636,0.0167582780122757,0.002137769479304552,-0.002017614198848605,0.0004490722494665533,0.003055893117561936,-0.006086842622607946,XArbitraryCorrectedZVertical,-0.4789775002961881,0.01337333510728018,0.04795003412237321,0.8764145721893052,0.06937514990568161,0.8382832407951355,-0.5408034324645996,-0.7371633052825928,45.15083694458008,-11.17660808563232,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.490,5,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.474716,0.3241615295410156,45.9013671875,-7.9073486328125,9.588200569152832,6.311064720153809,25,10457.88072341667,0.067626953125,0.84783935546875,-0.544525146484375,10457.86007241667,-5.166532514753722e-05,0.02872645341424871,0.005313272690817088,10457.82505341667,0.1785804093616713,0.1276735250852958,-0.9934733142563303,0.01559442281723022,0.004284342285245657,0.005424414295703173,-0.001545468461699784,0.004358451813459396,-0.00646524503827095,XArbitraryCorrectedZVertical,-0.4786948899665818,0.01345109050023135,0.04795463560688621,0.8765675235873296,0.06949285417795181,0.8379266858100891,-0.5413405299186707,-0.7318928241729736,45.14245986938477,-11.21074867248535,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.500,6,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.474716,0.3241615295410156,45.9013671875,-7.9073486328125,9.588200569152832,6.311064720153809,25,10457.91102341667,0.071624755859375,0.841796875,-0.544647216796875,10457.89506641667,-0.006405967686076599,0.02658900032335111,0.003090598445036956,10457.86007241667,0.1789177706566614,0.1278347749353698,-0.9928358178240172,0.01869296282529831,-0.002076465636491776,0.01186630129814148,-0.001746621215716004,0.0110694719478488,-0.003886814927682281,XArbitraryCorrectedZVertical,-0.4784233367299975,0.01347566342786746,0.04809526805509089,0.8767076836426149,0.06964823603630066,0.8375785946846008,-0.5418590307235718,-0.7243416309356689,45.13358306884766,-11.24692535400391,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.531,7,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.474716,0.3241615295410156,45.9013671875,-7.9073486328125,9.588200569152832,6.311064720153809,25,10457.94131741667,0.0712432861328125,0.84442138671875,-0.5459747314453125,10457.89506641667,-0.006405967686076599,0.02658900032335111,0.003090598445036956,10457.89506641667,0.1792361606706507,0.1279191365585051,-0.9923936650935055,0.01233741547912359,-0.004214191809296608,0.009642693214118481,-0.00273983902297914,0.00838142167776823,-0.001969037111848593,XArbitraryCorrectedZVertical,-0.4782348855067595,0.01346054527121223,0.04823643252710171,0.8768029736391026,0.06974118202924728,0.8373369574546814,-0.542220413684845,-0.711463451385498,45.12760925292969,-11.27168846130371,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.571,8,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.569399,-0.05743217468261719,46.14498901367188,-7.94036865234375,9.615734100341797,6.338598251342773,25,10457.97161941667,0.0721893310546875,0.8472137451171875,-0.547088623046875,10457.96511141667,-0.005244829450802051,0.03933302508770729,-0.003293531320100994,10457.93010141667,0.179728004674546,0.1285486311848379,-0.9921944858199121,0.001811020425520837,0.006391978356987238,0.002024847781285644,0.004755747504532337,0.00383639638312161,-0.002442745724692941,XArbitraryCorrectedZVertical,-0.4781666330982811,0.01362977973656836,0.04831137811261147,0.8768334567297389,0.07010386884212494,0.8372280597686768,-0.5423418283462524,-0.705829381942749,45.12596893310547,-11.27860927581787,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.591,9,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.569399,-0.05743217468261719,46.14498901367188,-7.94036865234375,9.615734100341797,6.338598251342773,25,10458.00191541667,0.0711517333984375,0.84344482421875,-0.5478973388671875,10457.96511141667,-0.005244829450802051,0.03933302508770729,-0.003293531320100994,10457.96511141667,0.1798978479344142,0.1289637181027105,-0.9919057402225073,0.0135602205991745,0.008565708994865417,0.003264046972617507,0.001493565738201141,0.009426461532711983,-0.004704099614173174,XArbitraryCorrectedZVertical,-0.4780520213705995,0.0137869446003546,0.04830090654184539,0.8768940685449315,0.07036007195711136,0.837070107460022,-0.5425523519515991,-0.6904711723327637,45.12413787841797,-11.28687000274658,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
2016-03-02 02:35:24.621,10,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456907724.000058,40.79924221620038,-96.68573060081962,371.6421,0,330.1171875,3,10,-9999,1456907724.569399,-0.05743217468261719,46.14498901367188,-7.94036865234375,9.615734100341797,6.338598251342773,25,10458.03221241667,0.070648193359375,0.844146728515625,-0.550201416015625,10458.00012941667,-0.004181162911424404,0.03933382403603432,-0.003278084985778534,10458.00012941667,0.1799834273425694,0.1293171721668422,-0.9914497797305037,0.01462362520396709,0.008566644974052906,0.003279363270848989,0.0002302521752426401,0.006883644498884678,-0.006105335894972086,XArbitraryCorrectedZVertical,-0.4778624801510969,0.0139464227508228,0.04827657464474005,0.8769961913810372,0.07060104608535767,0.8368206024169922,-0.542905867099762,-0.685457706451416,45.12216186523438,-11.29508113861084,1,10457.58487941667,unknown,1,2016-03-02 02:35:24.172,null,0,0,0,0,null,10457.71436541667,0,0.4152222,97.40947,192.168.1.101,100.78.239.175,2,1,0.41,0
