loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-03-01 13:04:08.940,1,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859047.999995,40.73552349120447,-96.67853171946172,395.6963,0.59,99.84375,3,10,-9999,1456859048.887209,-14.05978393554688,-30.32705688476562,-36.90861511230469,91.76660919189453,88.49263763427734,10,43844.45009258333,0.135528564453125,-0.6391754150390625,-0.8237457275390625,43844.42722616667,-0.06938493377648844,0.2069832767659395,0.04355360278326487,43844.42722616667,0.6356164621383357,0.1627147623917733,0.6984884430638508,-0.08404526114463806,0.2134475260972977,0.04541371017694473,-0.006750714965164661,-0.002111269859597087,0.04891242831945419,XArbitraryCorrectedZVertical,0.3001148106843163,0.1791126238824015,0.3190660630035903,0.880935080362503,0.1240602880716324,-0.6430608630180359,-0.7556995153427124,-12.03787612915039,-34.51744079589844,-36.12462997436523,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:08.969,2,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859047.999995,40.73552349120447,-96.67853171946172,395.6963,0.59,99.84375,3,10,-9999,1456859048.940222,-13.97570037841797,-30.54714965820312,-37.25569152832031,92.87849426269531,89.60452270507812,10,43844.50947929167,0.122833251953125,-0.6434173583984375,-0.76092529296875,43844.48922275,0.07338313752102441,-0.03001169495632095,-0.05335110611755738,43844.48922275,0.63473312692652,0.1693588817029892,0.6927043829028593,0.05871924012899399,-0.02354773879051208,-0.05149134621024132,-0.003162091365084052,0.01317809149622917,-0.0844290554523468,XArbitraryCorrectedZVertical,0.2965337196258069,0.1811398275434981,0.319760476490337,0.8814813405155493,0.1297032237052917,-0.6386206150054932,-0.7585122585296631,-11.70244979858398,-34.25767135620117,-36.48037338256836,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.043,3,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859047.999995,40.73552349120447,-96.67853171946172,395.6963,0.59,99.84375,3,10,-9999,1456859048.99356,-13.79071807861328,-30.69952011108398,-37.47053527832031,93.43174743652344,90.15777587890625,10,43844.56887141667,0.1488037109375,-0.6622467041015625,-0.7668609619140625,43844.55121933333,0.1022083942117151,0.04426679732318809,-0.04678028876000487,43844.55121933333,0.6298795921600663,0.1749778190529796,0.6992015369974811,0.08754118531942368,0.05072905123233795,-0.04491984099149704,0.0003679093497339636,-0.01572549156844616,0.003486537374556065,XArbitraryCorrectedZVertical,0.2990014580730933,0.1837479432410977,0.3183653575995071,0.8806124689699724,0.1332380473613739,-0.6436067819595337,-0.7536696195602417,-11.59134292602539,-34.46607208251953,-36.31919479370117,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.087,4,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.04181,-13.72345733642578,-30.49635696411133,-37.37138366699219,93.03131103515625,89.75733947753906,10,43844.62837758334,0.1249237060546875,-0.6636810302734375,-0.758026123046875,43844.61321608334,0.05625421802185276,-0.04981629240269521,-0.009896839242952465,43844.61321608334,0.6278429231966701,0.1759048661927864,0.7021829327627926,0.04157722741365433,-0.04336735978722572,-0.008044026792049408,-0.01513104792684317,-0.01527758035808802,-0.01322410069406033,XArbitraryCorrectedZVertical,0.3003816825501396,0.1842396140633551,0.3175666788074754,0.8803283557340097,0.1336002796888351,-0.6458857655525208,-0.7516531944274902,-11.44286251068115,-34.65228271484375,-36.1888542175293,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.147,5,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.093482,-13.68982696533203,-30.73337936401367,-37.23915100097656,93.19139862060547,89.91742706298828,10,43844.68766620834,0.1522369384765625,-0.66778564453125,-0.7644195556640625,43844.67521254167,0.06851434641614154,0.02676689948416841,-0.02878078190048633,43844.67521254167,0.62569312184966,0.1763603449505408,0.7050117496129624,0.05383920669555664,0.03321542218327522,-0.026927525177598,0.001784953870810568,-0.0144175486639142,-0.00915111880749464,XArbitraryCorrectedZVertical,0.3017790684705635,0.1844834081794217,0.3166505129087143,0.8801293760659367,0.1336215436458588,-0.6480427980422974,-0.7497905492782593,-11.52495098114014,-34.75997924804688,-36.05929565429688,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.234,6,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.197838,-13.60574340820312,-30.85189056396484,-37.12347412109375,93.153564453125,89.87959289550781,10,43844.74705804167,0.1288909912109375,-0.6585235595703125,-0.7638092041015625,43844.73720929167,0.05747660896219912,-0.04629159869997533,-0.01229501580456882,43844.70621104167,0.6244672592408668,0.1774982169827457,0.7058967071321595,0.01035248767584562,-0.04201291874051094,0.00523071363568306,0.0128282317891717,-0.01610892824828625,-0.02071741968393326,XArbitraryCorrectedZVertical,0.302109958615273,0.1849133809580648,0.3162709539583658,0.8800620990193954,0.1343733072280884,-0.6487165093421936,-0.7490732073783875,-11.48021125793457,-34.80707550048828,-36.02812194824219,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.266,7,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.249585,-13.60575103759766,-31.02119064331055,-37.05735778808594,93.2388916015625,89.96492004394531,10,43844.806553125,0.1329345703125,-0.6578826904296875,-0.7633056640625,43844.79920595833,0.05634556444724247,-0.02505901427710059,-0.01579946948300409,43844.76820745834,0.6241264157152607,0.1754809859952643,0.707310621965735,0.04656672477722168,0.01082580257207155,-0.02344682067632675,0.002613225020468235,-0.009570898488163948,-0.009022673591971397,XArbitraryCorrectedZVertical,0.3030955676601589,0.1841565631768782,0.3157965674668772,0.8800522513350029,0.1327017098665237,-0.6497918963432312,-0.7484388947486877,-11.53375816345215,-34.88405609130859,-35.93645095825195,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.332,8,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.300401,-13.65619659423828,-31.4444465637207,-37.23915100097656,93.25363159179688,89.97966003417969,10,43844.86584570834,0.1216278076171875,-0.6497955322265625,-0.7718658447265625,43844.861202375,0.02609951131499455,0.003594468523279948,0.03277712143225923,43844.83020425,0.6227564401251598,0.1763535345284572,0.7092071484205045,0.03423670679330826,0.001632047002203763,0.02129277773201466,0.009897617623209953,-0.01281494367867708,-0.006691216491162777,XArbitraryCorrectedZVertical,0.3039363362844953,0.1845767932120591,0.3153001310515338,0.8798522252358171,0.1331382691860199,-0.6512323021888733,-0.7471082210540771,-11.49827575683594,-34.97113800048828,-35.86310577392578,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.384,9,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.353288,-13.33668518066406,-31.6645393371582,-37.22262573242188,93.28574371337891,90.01177215576172,10,43844.92524875001,0.1338043212890625,-0.6581268310546875,-0.7450714111328125,43844.92319916667,0.03602511269771987,-0.01673557060616694,-0.01820829868898076,43844.892200875,0.6242542740784762,0.1744734097965515,0.7091039142904523,0.0104717742651701,-0.03148684650659561,-0.01528970059007406,-0.001984307542443275,0.0002140107681043446,-0.02876066043972969,XArbitraryCorrectedZVertical,0.3040485336650657,0.1839640669731059,0.3156747188914046,0.8798074693316108,0.1317450553178787,-0.6511539816856384,-0.7474234104156494,-11.53907871246338,-34.99272537231445,-35.82892608642578,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:04:09.444,10,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859048.999995,40.73552349120447,-96.67853171946172,395.5119,0,99.84375,3,5,-9999,1456859049.404408,-13.33667755126953,-31.39365386962891,-37.05735778808594,93.31777191162109,90.04380035400391,10,43844.98464833334,0.166351318359375,-0.669952392578125,-0.7274017333984375,43844.98519575,0.001094026575804551,0.01896144064525517,0.01828979141833718,43844.95419733333,0.6222957665562525,0.1757311839891137,0.7106293196625967,0.0394330732524395,0.04152944311499596,-0.02689705416560173,0.002696901326999068,-0.005129291675984859,0.0002303068467881531,XArbitraryCorrectedZVertical,0.3047158109682913,0.1844156563384375,0.3149831843852477,0.8797299209403707,0.1325112283229828,-0.6523109078407288,-0.7462782859802246,-11.55327224731445,-35.02001571655273,-35.79767227172852,2,192.168.0.12,0.0.0.0,1,1,0.76,0
