loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-03-01 13:03:33.553,1,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.496063,18.96725463867188,-28.9387321472168,-36.24778747558594,276.7833862304688,273.5094299316406,10,43809.075476875,-0.0537109375,-0.6593780517578125,-0.6821441650390625,43809.05883525001,0.1629705450107449,-0.474466649279645,-0.1358939198918003,43809.05883525001,-2.605803512427129,-0.04053705413645475,0.6839662244688278,0.1500888764858246,-0.4664862751960754,-0.1323901265859604,-0.004111902322620153,-0.02930648997426033,0.08730215579271317,XArbitraryCorrectedZVertical,-0.07033863425763634,0.3283816460848071,0.9100998882441867,-0.242767717094612,-0.03141056001186371,-0.6318721175193787,-0.7744359374046326,24.99575424194336,-32.7875862121582,-35.83061218261719,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.641,2,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.59889,18.46272277832031,-28.63399124145508,-36.71055603027344,277.8478698730469,274.5739135742188,10,43809.13489933334,-0.017425537109375,-0.6087646484375,-0.7493438720703125,43809.120829625,-0.1079230052788071,-0.6639998293189493,0.01506283912548817,43809.120829625,-2.619360573406659,-0.06465999292113833,0.6889160206340286,-0.120850034058094,-0.6560518741607666,0.01853327453136444,0.05431888252496719,0.02650889940559864,0.03446731716394424,XArbitraryCorrectedZVertical,-0.05773701168886412,0.3339239855413229,0.9116950014920694,-0.2323218319827517,-0.04987857490777969,-0.6357008218765259,-0.7703224420547485,24.15055084228516,-32.71875762939453,-36.4675178527832,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.654,3,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.59889,18.46272277832031,-28.63399124145508,-36.71055603027344,277.8478698730469,274.5739135742188,10,43809.194309125,-0.0708160400390625,-0.6640777587890625,-0.7548675537109375,43809.18282370834,0.01341301083018408,-0.4106517169230573,0.02412664157946385,43809.18282370834,-2.613886147365843,-0.09775413575071708,0.6835665031152749,0.0004857462190557271,-0.4027020335197449,0.02759520709514618,0.02434002608060837,-0.02482509426772594,-0.002057959558442235,XArbitraryCorrectedZVertical,-0.04286959099120567,0.3351870486734402,0.91273699104452,-0.2296149510568481,-0.07567059248685837,-0.6315622329711914,-0.7716236710548401,22.82588958740234,-32.58933639526367,-37.4240608215332,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.743,4,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.703674,17.05018615722656,-28.43082809448242,-37.99967956542969,278.9746704101562,275.7007141113281,10,43809.25372766667,-0.0753631591796875,-0.6311798095703125,-0.78839111328125,43809.24481787501,-0.1873880037812454,-0.2825291674082172,0.01001481727924297,43809.213821,-2.615365601851847,-0.1082086437956994,0.6815925461260831,-0.1834240406751633,-0.3704198598861694,-0.02705513872206211,0.02513665147125721,-0.0221300981938839,0.02526317536830902,XArbitraryCorrectedZVertical,-0.03759028562765541,0.3355187246219694,0.9134223422117307,-0.2273186763178988,-0.08386772871017456,-0.6300305724143982,-0.7720283269882202,22.51650238037109,-32.61894607543945,-37.58534240722656,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.773,5,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.755996,16.31028747558594,-28.1260871887207,-38.9913330078125,280.3670654296875,277.0931091308594,10,43809.31323229167,-0.0899505615234375,-0.6190032958984375,-0.7884521484375,43809.306812125,-0.2324063451640539,-0.566223201477235,-0.1238668180928935,43809.27581504167,-2.619562998699855,-0.12579615189217,0.6687733590698788,-0.2348020821809769,-0.4482757747173309,-0.0603436641395092,0.02249440178275108,-0.009721430949866772,0.001924362033605576,XArbitraryCorrectedZVertical,-0.02716160278777096,0.3317690404243646,0.9161353200067486,-0.2233553818156953,-0.09843739122152328,-0.6200240254402161,-0.7783830761909485,21.79011726379395,-32.16901397705078,-38.39259719848633,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.842,6,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.806766,15.23405456542969,-27.48273849487305,-39.91685485839844,282.0544738769531,278.780517578125,10,43809.37253404167,-0.07598876953125,-0.5640869140625,-0.80718994140625,43809.36880641667,-0.2284749867628789,-0.3674786798595647,-0.277681947908164,43809.33780925001,-2.634589714242946,-0.1479589658154452,0.6540638457410972,-0.2738703787326813,-0.4337565898895264,-0.2735266983509064,0.02983670681715012,0.008852962404489517,-0.01946604251861572,XArbitraryCorrectedZVertical,-0.01258579196145461,0.3276708681663464,0.9201811888385577,-0.213869071404638,-0.1169949099421501,-0.6084165573120117,-0.7849467992782593,20.83350944519043,-31.44413185119629,-39.5079460144043,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.901,7,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.858972,14.62867736816406,-26.90711212158203,-40.3465576171875,282.2068786621094,278.9329223632812,10,43809.431941,-0.09979248046875,-0.5767364501953125,-0.8447723388671875,43809.43080079167,-0.2018463053392856,-0.5088139704906149,-0.1925026046547426,43809.39980370834,-2.658766454537499,-0.1562275919508303,0.6402906520763531,-0.2039767503738403,-0.4642777442932129,-0.1827395856380463,0.05240092054009438,0.04586909711360931,-0.02203796990215778,XArbitraryCorrectedZVertical,-0.003087050537896912,0.3223547619998782,0.9247249326478679,-0.2023899119876842,-0.1247733607888222,-0.597428560256958,-0.7921557426452637,20.36750411987305,-30.42210960388184,-40.53771591186523,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:33.951,8,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859013.91092,13.63650512695312,-26.21297454833984,-40.69361877441406,282.8675842285156,279.5936279296875,10,43809.49142866667,-0.1183319091796875,-0.6446380615234375,-0.8530426025390625,43809.49279504167,-0.2800084854364572,0.5937901145528633,-0.1906514413810285,43809.46179779167,-2.678242497375991,-0.170606669150717,0.6296841996414398,-0.1950801759958267,-0.1734965890645981,-0.3371872007846832,-0.01382806617766619,-0.02938132174313068,-0.0236800778657198,XArbitraryCorrectedZVertical,0.008004171359581586,0.3188981282374442,0.928134552636841,-0.191849339975724,-0.1372186839580536,-0.5888895392417908,-0.7964798212051392,19.62724685668945,-29.54800796508789,-41.53712463378906,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:34.043,9,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859014.013887,14.4100341796875,-24.92628479003906,-41.52000427246094,284.1421203613281,280.8681640625,10,43809.55075216667,-0.01190185546875,-0.5308837890625,-0.8341827392578125,43809.52379216667,-0.3457480843128452,0.6648520408677746,-0.1879089180904649,43809.52379216667,-2.698019222415557,-0.1288492456558165,0.6127657134231886,-0.3586772382259369,0.6728134155273438,-0.1844515800476074,0.07754242420196533,0.02573947794735432,-0.1219026446342468,XArbitraryCorrectedZVertical,-0.006330371718633719,0.3071162138682161,0.9324193220687308,-0.1903516887396914,-0.1051150560379028,-0.5751321911811829,-0.8112791180610657,20.47793388366699,-28.61173820495605,-41.78120422363281,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:34.069,10,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859014.013887,14.4100341796875,-24.92628479003906,-41.52000427246094,284.1421203613281,280.8681640625,10,43809.61016725,0.0580902099609375,-0.39215087890625,-0.8332366943359375,43809.58578633334,-0.1651133244238227,-0.7646460132352239,-0.3636131015373147,43809.58578633334,-2.726252292702712,-0.1020552894166209,0.6049268124467899,-0.1780535727739334,-0.7566736340522766,-0.3601652681827545,0.1439799517393112,0.1622382551431656,-0.03247459977865219,XArbitraryCorrectedZVertical,-0.01369167994401377,0.3011321553522726,0.9360115753930909,-0.1816983589451424,-0.08379929512739182,-0.5687018632888794,-0.8182639479637146,22.24470138549805,-27.76886940002441,-41.44525909423828,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:34.141,11,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859014.117858,13.83827972412109,-23.47029304504395,-42.31330871582031,288.0505065917969,284.7765502929688,10,43809.66958183334,0.6440887451171875,-0.5426788330078125,-0.84271240234375,43809.647780625,-0.2359036083075459,-2.460059903234307,-1.081700667331337,43809.647780625,-2.778020077816499,-0.1748921953172242,0.5995614346927955,-0.2488436996936798,-2.452087640762329,-1.078252911567688,0.1671363860368729,0.4497479796409607,0.0002144887257600203,XArbitraryCorrectedZVertical,0.02888052629664046,0.3044196802689025,0.9407307128761284,-0.1466979867530129,-0.1436531096696854,-0.5642804503440857,-0.8129891753196716,20.38882064819336,-26.54390716552734,-43.16669464111328,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:34.188,12,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859014.16995,9.987396240234375,-23.18247985839844,-43.05703735351562,290.3177490234375,287.0437927246094,10,43809.72906075,0.269256591796875,-0.0147857666015625,0.102264404296875,43809.709775,1.447436574573554,-1.786065762976509,2.104210981539009,43809.709775,-2.708515942074249,-0.3396877140000526,0.597387261112804,1.434496641159058,-1.778093576431274,2.107658624649048,0.6311230063438416,0.4816431105136871,0.1598580181598663,XArbitraryCorrectedZVertical,0.09545699888178054,0.3179722460741292,0.9306589381312562,-0.1538036181871801,-0.2754863798618317,-0.5624841451644897,-0.7795632481575012,14.63397312164307,-25.79232215881348,-45.87209701538086,2,192.168.0.12,0.0.0.0,1,1,0.76,0
2016-03-01 13:03:34.248,13,519ED1E0-92A7-4D81-8A46-CB597B0F66FC,my_iOS_device_1,1456859012.999994,40.73551125362584,-96.67842845441464,392.8452,0.35,187.734375,3,10,-9999,1456859014.221559,5.497482299804688,-22.86080551147461,-43.37104797363281,289.5938415527344,286.3198852539062,10,43809.78852783333,0.1940155029296875,0.4613800048828125,-0.202362060546875,43809.771769125,-2.833932566555043,0.77537402505439,1.127366689491253,43809.771769125,-2.619424255637234,-0.4106624705354668,0.5400494839225791,-2.846872329711914,0.7833460569381714,1.13081431388855,0.7924900650978088,0.624377429485321,0.6738541722297668,XArbitraryCorrectedZVertical,0.1224333312070994,0.3030244705171781,0.9255831344257113,-0.191002908208228,-0.3424015641212463,-0.514178454875946,-0.7863724827766418,8.291357040405273,-29.05008888244629,-45.50815582275391,2,192.168.0.12,0.0.0.0,1,1,0.76,0
