loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-03-02 02:45:05.595,1,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.582656,29.10796737670898,43.22129821777344,8.3670654296875,282.9818115234375,279.7046813964844,25,11038.99341479167,0.0375213623046875,1.020416259765625,0.0615386962890625,11038.98604979167,-0.01162656237095893,0.02018409790171055,-0.004442152698252169,11038.95103779167,2.417218658302583,2.451513113542032,-1.510203590852076,-0.0382760688662529,0.0009978961898013949,0.0001195668373838998,0.002511754166334867,0.0117686502635479,-0.004189263097941875,XArbitraryCorrectedZVertical,0.7229607678063698,-0.02603560870499114,-0.001798082887219256,-0.6903960038920381,0.03854964673519135,0.9981648325920105,0.04670025035738945,28.16772842407227,44.27502059936523,7.44414234161377,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.600,2,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.582656,29.10796737670898,43.22129821777344,8.3670654296875,282.9818115234375,279.7046813964844,25,11039.02371779167,0.0390167236328125,1.008560180664062,0.066131591796875,11039.02106079167,-0.02322223207327294,0.0424891372955602,-0.01101643216522178,11038.98604979167,2.440827094329208,2.475227371738468,-1.508667637937319,0.009565289132297039,-0.009596964344382286,0.001885101199150085,-0.002627743640914559,0.02471073903143406,0.02600753307342529,XArbitraryCorrectedZVertical,0.7236890087246962,-0.02602639315143755,-0.00171465814208434,-0.6896331673129046,0.03837908804416656,0.9980706572532654,0.04880630970001221,28.16753005981445,44.2647819519043,7.505536079406738,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.634,3,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.582656,29.10796737670898,43.22129821777344,8.3670654296875,282.9818115234375,279.7046813964844,25,11039.05399179167,0.0360260009765625,1.014419555664062,0.063934326171875,11039.02106079167,-0.02322223207327294,0.0424891372955602,-0.01101643216522178,11039.02106079167,2.442020123403641,2.476434168637506,-1.508609389603268,-0.002032139571383595,0.01270815543830395,-0.004689055494964123,0.003239419311285019,0.009364014491438866,0.01132810860872269,XArbitraryCorrectedZVertical,0.723720891208676,-0.02602378559941534,-0.001702343426310717,-0.6895998377595762,0.03835603967308998,0.9980670213699341,0.04889833182096481,28.16552352905273,44.26346206665039,7.520833015441895,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.662,4,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.641908,28.38346862792969,43.74290466308594,8.1363525390625,283.0112915039062,279.7341613769531,25,11039.08429479167,0.0375213623046875,1.011367797851562,0.0571136474609375,11039.05605779167,-0.01372087225219724,0.04463777566303613,-0.005550826660052156,11039.05605779167,2.452507857288143,2.487429548371374,-1.508040264875196,0.007465416565537453,0.01485696155577898,0.0007762452587485313,-0.002135709393769503,0.0163880717009306,0.01416646782308817,XArbitraryCorrectedZVertical,0.7240168599163009,-0.02614413641941996,-0.001464181273286806,-0.6892850838811192,0.03816170990467072,0.9980314970016479,0.04976785928010941,28.16026878356934,44.26043319702148,7.558241844177246,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.690,5,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.641908,28.38346862792969,43.74290466308594,8.1363525390625,283.0112915039062,279.7341613769531,25,11039.11456879167,0.036407470703125,1.01220703125,0.061920166015625,11039.09108779167,-0.01048593047607799,0.04463138407641994,-0.008701079913506887,11039.09108779167,2.453592835944375,2.489057264498634,-1.507966578457809,0.01069888006895781,0.01485069375485182,-0.00237399130128324,-0.0006039440631866455,0.01334093697369099,0.007225306238979101,XArbitraryCorrectedZVertical,0.7240517805835865,-0.02632849304186897,-0.001265041849378353,-0.689241778447144,0.03812530636787415,0.9980268478393555,0.04988834261894226,28.15320014953613,44.26089477539062,7.581845283508301,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.739,6,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.698764,28.59046936035156,43.88197326660156,8.2022705078125,283.0220642089844,279.7449340820312,25,11039.14487379167,0.0426483154296875,1.009170532226562,0.0506591796875,11039.12607379167,-0.01051762209304993,0.04144704236101219,-0.006568420512571433,11039.12607379167,2.458391775844335,2.494407395111562,-1.507796860885048,0.01066466234624386,0.01166660152375698,-0.000241726724198088,0.0006752734770998359,0.01109330728650093,0.0105490256100893,XArbitraryCorrectedZVertical,0.7241633887178642,-0.02647172454606705,-0.001018845135265235,-0.6891194353628314,0.0379599817097187,0.9980161786079407,0.05022673308849335,28.14654731750488,44.26083755493164,7.606860160827637,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.751,7,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.698764,28.59046936035156,43.88197326660156,8.2022705078125,283.0220642089844,279.7449340820312,25,11039.17514579167,0.044281005859375,1.009262084960938,0.0596160888671875,11039.16111479167,-0.02439242505625376,0.03719184357128359,-0.003570500073469234,11039.12607379167,2.458391775844335,2.494407395111562,-1.507796860885048,0.01066466234624386,0.01166660152375698,-0.000241726724198088,0.0006752734770998359,0.01109330728650093,0.0105490256100893,XArbitraryCorrectedZVertical,0.7241633887178642,-0.02647172454606705,-0.001018845135265235,-0.6891194353628314,0.0379599817097187,0.9980161786079407,0.05022673308849335,28.14654731750488,44.26083755493164,7.606860160827637,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.782,8,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.757567,28.83197021484375,43.84718322753906,8.0374755859375,283.0265808105469,279.7494506835938,25,11039.20546679167,0.0447845458984375,1.019088745117188,0.0506591796875,11039.16111479167,-0.02439242505625376,0.03719184357128359,-0.003570500073469234,11039.16111479167,2.454250371293538,2.490675580175526,-1.507694794498721,-0.003210563445463777,0.007411403115838766,0.002756914356723428,0.004851429257541895,0.01137439627200365,0.000935926684178412,XArbitraryCorrectedZVertical,0.7241336752514762,-0.0267076636581223,-0.0009653932281731077,-0.6891416320935849,0.03820887207984924,0.9980097413063049,0.05016575753688812,28.14683532714844,44.25535583496094,7.637606620788574,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.819,9,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.816431,29.38397216796875,43.77764892578125,7.77374267578125,283.0162658691406,279.7391357421875,25,11039.23575879167,0.04058837890625,1.009292602539062,0.0695037841796875,11039.19612479167,-0.0329137415961803,0.0212344486356378,-0.003686081264778674,11039.19612479167,2.45269688761464,2.489008574847146,-1.506847188342138,-0.01173332519829273,-0.008546128869056702,0.002642987994477153,0.00672611640766263,0.01922544650733471,0.001716161263175309,XArbitraryCorrectedZVertical,0.7243372213745787,-0.02688170961756389,-0.001220003454826934,-0.6889205142909756,0.03880611062049866,0.9979559779167175,0.05077407136559486,28.16158103942871,44.24311447143555,7.654170036315918,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
2016-03-02 02:45:05.843,10,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908304.999999,40.79921463973894,-96.68586311870877,369.193,0.46,309.375,4,13.9858368491159,-9999,1456908305.816431,29.38397216796875,43.77764892578125,7.77374267578125,283.0162658691406,279.7391357421875,25,11039.26605079167,0.03558349609375,1.00311279296875,0.057159423828125,11039.23112779167,-0.02441639350606447,0.005289836873224391,-0.003554521106928759,11039.23112779167,2.452111669070006,2.487804807027737,-1.506326270598662,-0.003236787160858512,-0.02449077554047108,0.00277558621019125,0.005753763485699892,0.01237715687602758,0.01094804517924786,XArbitraryCorrectedZVertical,0.7244667662792109,-0.02679344060671531,-0.001569031437402905,-0.6887870166007244,0.0391833707690239,0.9979225397109985,0.05113996937870979,28.18667984008789,44.22570419311523,7.66236400604248,1,11020.507618375,unknown,2,2016-03-02 02:44:47.082,2016-03-02 02:41:14.235,128,99.7117,3,4,2016-03-02 02:45:02.625,11038.89149979167,0,-2.536438,97.42982,192.168.1.101,100.78.239.175,2,1,0.37,0
