loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-03-02 02:49:02.289,1,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.274268,10.32197380065918,31.0770263671875,-16.47705078125,205.2877655029297,202.0106353759766,25,11275.700297125,0.05596923828125,1.009658813476562,0.0985260009765625,11275.679928125,-0.04567640848816703,0.0424957951982854,-0.002816559168867802,11275.679928125,0.8923267828919518,2.70594300699296,-1.476663819380462,-0.02434542588889599,0.01302339974790812,0.003575598821043968,0.003807062050327659,0.007021188270300627,-0.01616816595196724,XArbitraryCorrectedZVertical,0.4428115727731723,-0.5886637445062832,0.5238536329598457,-0.4277502520826256,0.03966522961854935,0.9955728054046631,0.08521418273448944,9.292137145996094,31.48479080200195,-18.89582633972168,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.305,2,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.274268,10.32197380065918,31.0770263671875,-16.47705078125,205.2877655029297,202.0106353759766,25,11275.730598125,0.0506439208984375,1.0098876953125,0.097015380859375,11275.714940125,-0.006448844579626876,0.008517055482182411,0.005230714697024632,11275.679928125,0.8923267828919518,2.70594300699296,-1.476663819380462,-0.02434542588889599,0.01302339974790812,0.003575598821043968,0.003807062050327659,0.007021188270300627,-0.01616816595196724,XArbitraryCorrectedZVertical,0.4428115727731723,-0.5886637445062832,0.5238536329598457,-0.4277502520826256,0.03966522961854935,0.9955728054046631,0.08521418273448944,9.292137145996094,31.48479080200195,-18.89582633972168,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.347,3,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.326561,10.1834135055542,31.0074462890625,-16.543212890625,205.3289642333984,202.0518341064453,25,11275.760899125,0.051177978515625,1.01361083984375,0.085235595703125,11275.749946125,0.0178903172548253,-0.002075135121389743,0.01411555272574699,11275.714940125,0.8814990397781903,2.69466496081407,-1.47595976628627,0.01488145533949137,-0.02095463126897812,0.01162468735128641,0.01151779107749462,0.01421346608549356,0.01502459216862917,XArbitraryCorrectedZVertical,0.4426245378597224,-0.5888805208019091,0.523422308022203,-0.4281732571859627,0.04092666879296303,0.9955064058303833,0.08539349585771561,9.319682121276855,31.46815490722656,-18.90996932983398,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.365,4,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.326561,10.1834135055542,31.0074462890625,-16.543212890625,205.3289642333984,202.0518341064453,25,11275.791200125,0.0428466796875,1.012481689453125,0.0738677978515625,11275.784945125,0.03179361604169297,0.00111080449067205,0.008987103414581397,11275.749946125,0.8704636989179277,2.682848220389217,-1.475662445089585,0.03921965882182121,-0.03154646977782249,0.02051067724823952,0.009846474044024944,0.0163016002625227,0.006841190624982119,XArbitraryCorrectedZVertical,0.442485750351809,-0.5888896453754816,0.5230650214070359,-0.4287403989427406,0.04206392541527748,0.9954782128334045,0.08516930788755417,9.333857536315918,31.46366119384766,-18.91045570373535,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.395,5,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.386896,10.28733158111572,30.90306091308594,-17.237548828125,205.3487243652344,202.0715942382812,25,11275.821485125,0.0504913330078125,1.009735107421875,0.075592041015625,11275.784945125,0.03179361604169297,0.00111080449067205,0.008987103414581397,11275.784945125,0.8525638239315855,2.663868688196796,-1.476855462062987,0.05312309041619301,-0.02836016565561295,0.01538276020437479,-0.0007072418229654431,0.01728761754930019,-0.002505653770640492,XArbitraryCorrectedZVertical,0.4421115894164618,-0.588377271360587,0.5231382840351261,-0.429739298676175,0.0431266762316227,0.9955908060073853,0.08330094069242477,9.357223510742188,31.44296073913574,-18.93332099914551,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.425,6,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.386896,10.28733158111572,30.90306091308594,-17.237548828125,205.3487243652344,202.0715942382812,25,11275.851792125,0.043701171875,1.005340576171875,0.0719146728515625,11275.819983125,0.03078853904629706,0.001098287633548678,0.004709534071696125,11275.819983125,0.8354267757147699,2.645672201269937,-1.47878595284138,0.05211952328681946,-0.02837240882217884,0.01110535580664873,0.006694442126899958,0.01414818223565817,-0.01176582742482424,XArbitraryCorrectedZVertical,0.4417331144945637,-0.5876034202121352,0.523500035392957,-0.4307456198935675,0.04372059553861618,0.9957700371742249,0.08081185072660446,9.355489730834961,31.36047554016113,-19.07049179077148,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.457,7,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.443285,10.25269222259521,30.72911071777344,-17.79962158203125,205.2621002197266,201.9849700927734,25,11275.882095125,0.05242919921875,1.011505126953125,0.071533203125,11275.854993125,0.02758182677773265,0.01917955353853266,0.006785201825303883,11275.854993125,0.8181668390467942,2.627870922052884,-1.480452621333123,0.04891353473067284,-0.01029083598405123,0.01318129058927298,-0.0006353408680297434,0.009418793953955173,-0.006660621613264084,XArbitraryCorrectedZVertical,0.4412481005907074,-0.5870159801712962,0.5238935122450691,-0.4315645265497833,0.04433651268482208,0.995921790599823,0.07857529819011688,9.357685089111328,31.33242988586426,-19.1154613494873,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.506,8,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.502179,10.07949447631836,30.55513000488281,-18.29559326171875,205.1658782958984,201.8887481689453,25,11275.912386125,0.053009033203125,1.013992309570312,0.0702056884765625,11275.890004125,0.02129090765074748,0.02341078387845055,0.000297208777652843,11275.890004125,0.8014201265280351,2.610861601059756,-1.48185262239718,0.04262351989746094,-0.006059351842850447,0.006693685427308083,0.007468436844646931,0.01545801106840372,-0.005074062384665012,XArbitraryCorrectedZVertical,0.4407346583390773,-0.5865633757724833,0.5242663785235044,-0.432251236540698,0.04496076330542564,0.9960471391677856,0.07660726457834244,9.36064624786377,31.30723762512207,-19.15524291992188,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.521,9,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.502179,10.07949447631836,30.55513000488281,-18.29559326171875,205.1658782958984,201.8887481689453,25,11275.942692125,0.0583038330078125,1.00360107421875,0.0679168701171875,11275.925021125,0.02444275880085625,0.02980237049464072,0.003536944243734236,11275.890004125,0.8014201265280351,2.610861601059756,-1.48185262239718,0.04262351989746094,-0.006059351842850447,0.006693685427308083,0.007468436844646931,0.01545801106840372,-0.005074062384665012,XArbitraryCorrectedZVertical,0.4407346583390773,-0.5865633757724833,0.5242663785235044,-0.432251236540698,0.04496076330542564,0.9960471391677856,0.07660726457834244,9.36064624786377,31.30723762512207,-19.15524291992188,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.551,10,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.502179,10.07949447631836,30.55513000488281,-18.29559326171875,205.1658782958984,201.8887481689453,25,11275.972991125,0.0581512451171875,1.01300048828125,0.0700836181640625,11275.960030125,0.01376135230076645,0.02873976921969911,0.006579605789149766,11275.925021125,0.7835738760703821,2.592857163970555,-1.483079835128409,0.0457761362195015,0.0003326548612676561,0.009934675879776478,0.008427882567048073,0.01391542609781027,-0.004979259334504604,XArbitraryCorrectedZVertical,0.4401806455713786,-0.5861844596149725,0.5246063654190088,-0.4329167817630908,0.04569504410028458,0.9961553812026978,0.07474244385957718,9.376706123352051,31.2573413848877,-19.22873115539551,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.585,11,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.560965,10.25269222259521,30.72911071777344,-18.46099853515625,205.0888824462891,201.8117523193359,25,11276.003293125,0.05926513671875,1.007781982421875,0.0599517822265625,11275.995043125,0.0287461608063153,0.0361771791959634,0.0003989415312938699,11275.960030125,0.7626866480132503,2.571904488377223,-1.483988764630568,0.03509562835097313,-0.0007295587565749884,0.01297897659242153,0.01447095163166523,0.005657501053065062,-0.001213601790368557,XArbitraryCorrectedZVertical,0.4395316960598554,-0.5859308750225464,0.5248534176202837,-0.4336194043932481,0.04676256701350212,0.9962345957756042,0.07300620526075363,9.398797988891602,31.20652198791504,-19.30035591125488,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.607,12,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.560965,10.25269222259521,30.72911071777344,-18.46099853515625,205.0888824462891,201.8117523193359,25,11276.033594125,0.0626678466796875,1.008071899414062,0.0617828369140625,11275.995043125,0.0287461608063153,0.0361771791959634,0.0003989415312938699,11275.995043125,0.7395836790151842,2.549131517853727,-1.485045401531406,0.05008186399936676,0.00670825457200408,0.006800269242376089,0.009471721015870571,0.01485905051231384,-0.01349299866706133,XArbitraryCorrectedZVertical,0.43872136204908,-0.5857031177218042,0.5252505647505744,-0.4342663567465803,0.04782503098249435,0.9963256120681763,0.07104915380477905,9.44260311126709,31.15985107421875,-19.35430526733398,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.638,13,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.619735,10.70301151275635,30.62472534179688,-18.75848388671875,205.0312194824219,201.7540893554688,25,11276.063896125,0.071624755859375,1.003433227539062,0.057525634765625,11276.030050125,0.02018409790171055,0.02448217358498943,0.003477822067534477,11276.030050125,0.7176982758709513,2.527162714102998,-1.486223239418516,0.04152090474963188,-0.00498645007610321,0.009880734607577324,0.01073530688881874,0.01285151578485966,-0.003852218389511108,XArbitraryCorrectedZVertical,0.4380707484542232,-0.5853249290923471,0.5256202239665012,-0.4349852030692398,0.04869767650961876,0.9964258074760437,0.06902250647544861,9.475166320800781,31.09930992126465,-19.43559455871582,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
2016-03-02 02:49:02.668,14,234B9614-18C8-49ED-8B56-CAB6C4F40872,my_iOS_device_1,1456908542.000027,40.79922339882776,-96.68579673403565,366.469,0,121.2890625,4,13.00731632488905,-9999,1456908542.619735,10.70301151275635,30.62472534179688,-18.75848388671875,205.0312194824219,201.7540893554688,25,11276.094193125,0.05938720703125,1.017669677734375,0.0636138916015625,11276.065070125,-0.001050084417818244,0.01807700484723985,-2.450108202872899e-05,11276.065070125,0.6899215152899066,2.499124466728979,-1.486851397539792,0.02029784023761749,-0.01141716167330742,0.006387677509337664,0.02138624340295792,0.006954534444957972,-0.009603393264114857,XArbitraryCorrectedZVertical,0.4373102881755758,-0.5850848020983954,0.5257609024752665,-0.4359024657393631,0.05023851245641708,0.9964786767959595,0.06712903082370758,9.491334915161133,31.07273483276367,-19.47018051147461,1,11263.50103429167,walking,0,2016-03-02 02:48:50.072,2016-03-02 02:47:07.556,84,57.67838,2,2,2016-03-02 02:49:00.448,11275.357469125,0,0.3888245,97.38637,192.168.1.101,100.78.239.175,2,1,0.35,0
