DC X,Time Mean X,Power X,Frequency-domain Entropy X,DC Y,Time Mean Y,Power Y,Frequency-domain Entropy Y,DC Z,Time Mean Z,Power Z,Frequency-domain Entropy Z,Activity
0.108153343201,-0.0540766716003,-3.59978765879,2.68259180153,2.02151107788,1.01075553894,-4.09697441188,3.03879075243,0.120554924011,-0.0602774620056,-3.6799923547,3.04576167217,downstairs
0.115977287292,-0.0579886436462,-3.5189261843,2.57876756098,2.02118968964,1.01059484482,-4.10729302969,2.6479217214,0.113991737366,-0.0569958686829,-3.88325267329,2.81526826458,downstairs
0.125070571899,-0.0625352859497,-3.7771598319,2.44500824751,2.02125740051,1.01062870026,-4.40894379399,3.13663216201,0.104503631592,-0.0522518157959,-3.96819058885,2.98858087818,downstairs
0.132829666138,-0.0664148330688,-3.84948365483,2.81786317484,2.02119445801,1.010597229,-4.83273955077,2.96949865987,0.0935039520264,-0.0467519760132,-4.03257569262,2.63493644744,downstairs
0.143272399902,-0.0716361999512,-3.99681838517,2.773892361,2.02120685577,1.01060342789,-4.50952936403,3.06948967674,0.0845232009888,-0.0422616004944,-4.37070364889,2.91904164179,downstairs
0.149286270142,-0.0746431350708,-3.99474888213,2.74966111403,2.01910114288,1.00955057144,-4.08883556099,2.94627108793,0.0820140838623,-0.0410070419312,-4.25122180393,2.90277052959,downstairs
0.173530578613,-0.0867652893066,-2.63018534937,2.69030109822,2.02191352844,1.01095676422,-2.6169936497,2.87442837291,0.0900897979736,-0.0450448989868,-2.19185213121,3.12616875813,downstairs
0.014199256897,-0.00709962844849,-1.24851268546,1.9065869385,2.00259876251,1.00129938126,-1.90654709968,2.73235770997,0.00180816650391,0.000904083251953,-1.63157767989,2.44828846339,downstairs
0.168031692505,0.0840158462524,-1.32710057519,2.89327514712,2.00887870789,1.00443935394,-1.33053790916,2.56804330239,0.294867515564,0.147433757782,-0.979142192261,2.31516260802,downstairs
0.160264968872,0.080132484436,-1.02175062697,2.80237459252,1.95664787292,0.978323936462,-0.510585956648,2.4887424834,0.448628425598,0.224314212799,-0.780539804902,2.9097011656,downstairs
0.210948944092,0.105474472046,-0.802569157803,2.78859269066,1.84530544281,0.922652721405,-0.32623407899,2.4511021533,0.317241668701,0.158620834351,-0.775346952286,2.97884271796,downstairs
0.12398815155,0.0619940757751,-0.91901856545,2.9328449403,1.90975570679,0.954877853394,-0.215622406719,2.26204904203,0.142313957214,0.0711569786072,-1.13503763115,2.94867732994,downstairs
0.120352745056,0.0601763725281,-1.00614126249,2.9260826616,2.00696277618,1.00348138809,-0.213673807398,2.37902952391,0.0969228744507,0.0484614372253,-1.22308134142,3.02283541578,downstairs
0.125227928162,0.0626139640808,-0.814126836011,2.83490362601,2.04210948944,1.02105474472,-0.252915497214,2.24772477519,0.167269706726,0.083634853363,-0.888692157272,2.69770143666,downstairs
0.175121307373,0.0875606536865,-0.734189823282,2.82460887473,2.01116943359,1.0055847168,-0.292873974073,2.24752501063,0.211779594421,0.105889797211,-0.766188736124,2.6117216072,downstairs
0.152709007263,0.0763545036316,-0.822598297723,2.62828098992,2.0146522522,1.0073261261,-0.334105296795,2.39685827421,0.175369262695,0.0876846313477,-0.861979217565,2.63550230115,downstairs
0.140448570251,0.0702242851257,-0.93093144879,2.58757785504,2.03544235229,1.01772117615,-0.308133457413,2.22752007167,0.159851074219,0.0799255371094,-1.07236253221,2.75184264975,downstairs
0.124086380005,0.0620431900024,-0.893997732534,2.74750131883,2.00946712494,1.00473356247,-0.376265481426,2.12923021242,0.174222946167,0.0871114730835,-1.02669400536,2.46326115023,downstairs
0.11430644989,0.0571532249451,-0.96717083629,2.62538379102,2.01448249817,1.00724124908,-0.456620876663,1.78668507348,0.157814025879,0.0789070129395,-0.931351074933,2.3609101848,downstairs
0.159938812256,0.0799694061279,-1.03570208372,2.94341120906,2.02594661713,1.01297330856,-0.511038100996,2.20299678023,0.121877670288,0.060938835144,-0.807904938792,2.70981893441,downstairs
0.189217567444,0.0946087837219,-1.00662236627,2.67475607104,2.01861572266,1.00930786133,-0.543701145053,2.28964031397,0.0725469589233,0.0362734794617,-0.866131754703,2.79679748164,downstairs
0.249897956848,0.124948978424,-1.11324418891,2.89799419978,1.97751903534,0.98875951767,-0.508455745834,2.08464641796,0.124672889709,0.0623364448547,-0.876506711229,2.73414617252,downstairs
0.304251670837,0.152125835419,-1.00206105521,2.68217790208,2.06077957153,1.03038978577,-0.363280368855,2.06730017615,0.217725753784,0.108862876892,-0.875580413797,2.79411284782,downstairs
0.42628288269,0.213141441345,-0.893711314831,2.59470937259,2.17888832092,1.08944416046,-0.301158071349,2.18567470267,0.172699928284,0.0863499641418,-0.809453328146,2.35009493825,downstairs
0.17382144928,0.0869107246399,-0.841680167315,2.41134354982,2.06727695465,1.03363847733,-0.468288396914,2.69130457085,0.0960006713867,0.0480003356934,-0.965128511828,2.53731089694,downstairs
0.12829208374,0.0641460418701,-1.2452689673,2.27796500636,1.94676685333,0.973383426666,-1.27464297908,2.53489577689,0.184277534485,0.0921387672424,-1.73475942652,2.5837388946,downstairs
0.225171089172,0.112585544586,-1.72579278878,2.666095955,1.98790073395,0.993950366974,-1.72461717624,2.3191813162,0.288412094116,0.144206047058,-2.06890563797,2.61212117844,downstairs
0.157547950745,0.0787739753723,-3.01176942398,3.07283493899,2.01062393188,1.00531196594,-2.34985131005,2.46666203385,0.260404586792,0.130202293396,-2.18024136128,2.579231704,downstairs
