accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
-0.0522003173828,1.01634216309,-0.0378570556641
-0.0563354492188,1.00643920898,-0.0673065185547
-0.0523834228516,1.00859069824,-0.0527801513672
-0.0452270507812,1.01107788086,-0.0594635009766
-0.0485687255859,1.00929260254,-0.0566558837891
-0.0460662841797,1.01362609863,-0.0681915283203
-0.0522155761719,1.02110290527,-0.0532073974609
-0.0576171875,1.00695800781,-0.0525207519531
-0.0571746826172,1.00398254395,-0.0634765625
-0.0565795898438,1.01300048828,-0.0668487548828
-0.0651245117188,1.00831604004,-0.0671844482422
-0.0615081787109,1.01019287109,-0.0617828369141
-0.0560302734375,1.01329040527,-0.0681457519531
-0.0517272949219,1.01063537598,-0.0731201171875
-0.0496215820312,1.01365661621,-0.0640716552734
-0.0428924560547,1.00689697266,-0.0663604736328
-0.0377197265625,1.00930786133,-0.0695343017578
-0.0428771972656,1.01414489746,-0.0692749023438
-0.0436859130859,1.01182556152,-0.0614013671875
-0.0595550537109,1.00804138184,-0.0537719726562
-0.0632476806641,1.00605773926,-0.0560455322266
-0.0603942871094,1.01802062988,-0.0510559082031
-0.0559234619141,1.00842285156,-0.0576782226562
-0.0601806640625,1.01245117188,-0.061279296875
-0.0592498779297,1.01605224609,-0.0548095703125
-0.0532073974609,1.01354980469,-0.0523681640625
-0.0694122314453,1.0041809082,-0.0640258789062
-0.0728454589844,1.0066986084,-0.0576629638672
-0.0552215576172,1.02136230469,-0.0596466064453
-0.0424346923828,1.00885009766,-0.0557556152344
-0.0528717041016,1.00479125977,-0.0591125488281
-0.0503540039062,1.00701904297,-0.0664825439453
-0.0497131347656,1.01818847656,-0.0636901855469
-0.0501708984375,1.0139465332,-0.0619659423828
-0.0512847900391,1.00384521484,-0.0576477050781
-0.0548248291016,1.01312255859,-0.0632781982422
-0.0578765869141,1.01037597656,-0.0542602539062
-0.0641174316406,1.01194763184,-0.0459289550781
-0.0614166259766,1.00698852539,-0.0481262207031
-0.0709991455078,1.00833129883,-0.0540771484375
-0.0677185058594,1.01358032227,-0.0506744384766
-0.0667419433594,1.00267028809,-0.0544586181641
-0.0652465820312,1.01458740234,-0.0504302978516
-0.0612640380859,1.01261901855,-0.0518188476562
-0.0621185302734,1.00665283203,-0.0559997558594
-0.0681915283203,1.00875854492,-0.0533752441406
-0.0659790039062,1.01303100586,-0.0533142089844
-0.0587921142578,1.00961303711,-0.0549163818359
-0.0579528808594,1.0090637207,-0.0533294677734
-0.0625915527344,1.01091003418,-0.0568084716797
-0.0585784912109,1.00964355469,-0.0518341064453
-0.0546875,1.00787353516,-0.0535430908203
-0.0592193603516,1.01147460938,-0.0535736083984
-0.0558319091797,1.01139831543,-0.0548248291016
-0.0655364990234,1.00939941406,-0.0560913085938
-0.0630493164062,1.01162719727,-0.0466461181641
-0.0589141845703,1.00968933105,-0.0483245849609
-0.0630340576172,1.01338195801,-0.0458831787109
-0.0696105957031,1.01042175293,-0.0491790771484
-0.0703887939453,1.00834655762,-0.0437469482422
-0.0701446533203,1.01078796387,-0.0471801757812
-0.0723571777344,1.01025390625,-0.0446929931641
-0.0749053955078,1.01226806641,-0.0489044189453
-0.06787109375,1.01531982422,-0.0435333251953
-0.0622100830078,1.00988769531,-0.0394287109375
-0.067626953125,1.00785827637,-0.049560546875
-0.0766143798828,1.00917053223,-0.0416870117188
-0.0734405517578,1.01219177246,-0.0478820800781
-0.0662078857422,1.01312255859,-0.042724609375
-0.0628967285156,1.00773620605,-0.0425720214844
-0.0738525390625,1.00965881348,-0.0437164306641
-0.0661926269531,1.00814819336,-0.0420989990234
-0.0628204345703,1.01153564453,-0.0481262207031
-0.0624389648438,1.013671875,-0.0441436767578
-0.0652313232422,1.01113891602,-0.0438690185547
-0.0726776123047,1.01037597656,-0.0393829345703
-0.0729827880859,1.01429748535,-0.0414123535156
-0.0689392089844,1.0094909668,-0.0439147949219
-0.0725250244141,1.0085144043,-0.0459747314453
-0.0739440917969,1.01045227051,-0.0414733886719
-0.0752105712891,1.01066589355,-0.0441284179688
-0.0750122070312,1.01277160645,-0.0446929931641
-0.0741424560547,1.01292419434,-0.0407104492188
-0.0776214599609,1.0093536377,-0.0413360595703
-0.0808410644531,1.00930786133,-0.0383911132812
-0.0750122070312,1.00714111328,-0.0394439697266
-0.0787506103516,1.0121307373,-0.0350952148438
-0.0761566162109,1.0143737793,-0.0385589599609
-0.0662231445312,1.01756286621,-0.0387725830078
-0.0685272216797,1.0118560791,-0.0442047119141
-0.0733642578125,1.00639343262,-0.0454406738281
-0.0725250244141,1.00874328613,-0.0361328125
-0.0750427246094,1.01487731934,-0.0412139892578
-0.0734558105469,1.01156616211,-0.0395050048828
-0.0748291015625,1.00370788574,-0.0445861816406
-0.0750427246094,1.00868225098,-0.0421905517578
-0.0756988525391,1.01313781738,-0.0419158935547
-0.0735473632812,1.00588989258,-0.0497131347656
-0.0696105957031,1.0124206543,-0.0448150634766
-0.082275390625,1.01118469238,-0.0391082763672
-0.0872802734375,1.0111541748,-0.0390167236328
-0.0793609619141,1.00987243652,-0.0440521240234
-0.0736541748047,1.0085144043,-0.0383453369141
-0.0762023925781,1.00733947754,-0.0375366210938
-0.0819854736328,1.00755310059,-0.0410461425781
-0.0786285400391,1.00985717773,-0.0374603271484
-0.0681915283203,1.01570129395,-0.0370330810547
-0.0658569335938,1.00561523438,-0.0337524414062
-0.0751800537109,0.992614746094,-0.0415191650391
-0.0774688720703,1.00863647461,-0.037841796875
-0.0641174316406,1.01162719727,-0.0481414794922
-0.0677642822266,1.00244140625,-0.0465240478516
-0.0789031982422,1.00205993652,-0.0396118164062
-0.0911865234375,0.99609375,-0.0507965087891
-0.0826873779297,0.998825073242,-0.0566253662109
-0.0794677734375,1.0022277832,-0.0723114013672
-0.08203125,0.9912109375,-0.0629272460938
-0.10319519043,0.995941162109,-0.0662841796875
-0.111267089844,1.01298522949,-0.0698547363281
-0.107788085938,1.01399230957,-0.0947875976562
-0.0873413085938,1.01400756836,-0.11213684082
-0.0929107666016,1.0096282959,-0.0950927734375
-0.130187988281,1.01350402832,-0.0597229003906
-0.140838623047,0.98225402832,-0.0773315429688
-0.154235839844,0.96257019043,-0.0121307373047
